"season","player_id","first_name","last_name","primary_position","hit_count"
"2010",8446485,"Kris","Draper","C",57
"2010",8449645,"Mike","Modano","C",10
"2010",8450725,"Mark","Recchi","RW",123
"2010",8455919,"Craig","Conroy","C",21
"2010",8456283,"Adam","Foote","D",55
"2010",8457063,"Nicklas","Lidstrom","D",55
"2010",8457981,"Teemu","Selanne","RW",14
"2010",8458361,"Doug","Weight","C",9
"2010",8458520,"Peter","Forsberg","C",3
"2010",8458525,"Brian","Rolston","RW",67
"2010",8458529,"Alex","Kovalev","RW",17
"2010",8458537,"Ray","Whitney","LW",31
"2010",8458541,"Steve","Staios","D",40
"2010",8458543,"Jassen","Cullimore","D",36
"2010",8458590,"Mike","Knuble","RW",86
"2010",8458637,"Sean","O'Donnell","D",62
"2010",8458938,"Roman","Hamrlik","D",74
"2010",8458943,"Cory","Stillman","LW",61
"2010",8458951,"Sergei","Gonchar","D",53
"2010",8459004,"Craig","Rivet","D",31
"2010",8459053,"Adrian","Aucoin","D",136
"2010",8459424,"Chris","Pronger","D",41
"2010",8459427,"Rob","Niedermayer","C",41
"2010",8459429,"Jason","Arnott","C",52
"2010",8459442,"Saku","Koivu","C",56
"2010",8459444,"Todd","Bertuzzi","RW",125
"2010",8459457,"Jamie","Langenbrunner","RW",96
"2010",8459461,"Brendan","Morrison","C",22
"2010",8459462,"Bryan","McCabe","D",94
"2010",8459492,"Vinny","Prospal","LW",54
"2010",8459514,"Jamal","Mayers","RW",126
"2010",8459587,"Todd","Marchant","C",116
"2010",8459596,"Andrew","Brunette","LW",27
"2010",8459628,"Hal","Gill","D",81
"2010",8459640,"Mike","Grier","RW",129
"2010",8459670,"Kimmo","Timonen","D",106
"2010",8459687,"Scott","Nichol","C",142
"2010",8460492,"Ed","Jovanovski","D",93
"2010",8460496,"Ryan","Smyth","LW",29
"2010",8460502,"Wade","Belak","RW",17
"2010",8460503,"Mattias","Ohlund","D",170
"2010",8460504,"Ethan","Moreau","LW",73
"2010",8460527,"Ryan","Johnson","C",32
"2010",8460533,"Dave","Scatchard","C",7
"2010",8460542,"Patrik","Elias","C",61
"2010",8460555,"Jason","Strudwick","D",43
"2010",8460556,"Freddy","Modin","LW",19
"2010",8460562,"Chris","Drury","C",26
"2010",8460567,"Chris","Clark","RW",87
"2010",8460577,"Milan","Hejduk","RW",9
"2010",8460580,"Brad","Lukowich","D",5
"2010",8460612,"Marty","Turco","G",1
"2010",8460621,"Daniel","Alfredsson","RW",41
"2010",8460661,"Shane","Hnidy","D",3
"2010",8460703,"Tim","Thomas","G",1
"2010",8460719,"Steve","Sullivan","LW",20
"2010",8460720,"Eric","Boulton","LW",88
"2010",8460743,"Tomas","Holmstrom","LW",89
"2010",8462036,"Daymond","Langkow","C",4
"2010",8462038,"Shane","Doan","RW",191
"2010",8462041,"Radek","Dvorak","RW",48
"2010",8462042,"Jarome","Iginla","RW",102
"2010",8462077,"Jochen","Hecht","C",33
"2010",8462093,"Peter","Schaefer","LW",17
"2010",8462118,"Marc","Savard","C",5
"2010",8462129,"Michal","Handzus","C",101
"2010",8462176,"Brent","Sopel","D",42
"2010",8462196,"Stephane","Robidas","D",213
"2010",8462225,"Filip","Kuba","D",22
"2010",8462535,"Jody","Shelley","LW",90
"2010",8464956,"Chris","Phillips","D",114
"2010",8464957,"J-P","Dumont","RW",46
"2010",8464962,"Ruslan","Salei","D",123
"2010",8464966,"Derek","Morris","D",115
"2010",8464967,"Marty","Reasoner","C",70
"2010",8464975,"Daniel","Briere","C",50
"2010",8464977,"Dainius","Zubrus","C",105
"2010",8464979,"Marco","Sturm","LW",35
"2010",8464981,"Cory","Sarich","D",173
"2010",8464984,"Josh","Green","C",11
"2010",8464989,"Matt","Cullen","C",39
"2010",8464994,"Steve","Begin","LW",5
"2010",8464999,"Mathieu","Garon","G",1
"2010",8465005,"Colin","White","D",107
"2010",8465009,"Zdeno","Chara","D",208
"2010",8465012,"Tom","Poti","D",7
"2010",8465024,"Jon","Sim","LW",53
"2010",8465025,"Arron","Asham","RW",128
"2010",8465026,"Mark","Parrish","RW",2
"2010",8465042,"Toni","Lydman","D",145
"2010",8465050,"Eric","Belanger","C",77
"2010",8465058,"Michal","Rozsival","D",107
"2010",8465059,"Matt","Bradley","RW",182
"2010",8465122,"Brett","Clark","D",136
"2010",8465166,"Craig","Adams","RW",190
"2010",8465170,"Fernando","Pisani","RW",65
"2010",8465185,"Willie","Mitchell","D",41
"2010",8465192,"Samuel","Pahlsson","C",160
"2010",8465200,"Tomas","Kaberle","D",41
"2010",8465202,"Sami","Salo","D",27
"2010",8465210,"Pavel","Kubina","D",112
"2010",8465914,"Francis","Bouillon","D",130
"2010",8465951,"Matt","Cooke","LW",190
"2010",8465978,"Shawn","Thornton","LW",185
"2010",8466035,"Sergei","Samsonov","LW",56
"2010",8466138,"Joe","Thornton","C",72
"2010",8466139,"Patrick","Marleau","C",114
"2010",8466140,"Olli","Jokinen","C",56
"2010",8466142,"Eric","Brewer","D",181
"2010",8466144,"Paul","Mara","D",88
"2010",8466145,"Nick","Boynton","D",61
"2010",8466148,"Marian","Hossa","RW",61
"2010",8466149,"Daniel","Cleary","RW",130
"2010",8466158,"Scott","Hannan","D",95
"2010",8466160,"Brenden","Morrow","LW",224
"2010",8466181,"Kristian","Huselius","LW",4
"2010",8466182,"Henrik","Tallinder","D",67
"2010",8466212,"Francis","Lessard","RW",36
"2010",8466215,"Joe","Corvo","D",55
"2010",8466216,"Adam","Mair","C",61
"2010",8466251,"Jason","Chimera","LW",121
"2010",8466285,"Brian","Campbell","D",30
"2010",8466309,"Mike","Mottau","D",17
"2010",8466333,"Andrew","Ference","D",106
"2010",8466371,"John","Madden","C",41
