"season","player_id","first_name","last_name","primary_position","goal_count"
"2012",8474141,"Patrick","Kane","RW",38
"2003",8462042,"Jarome","Iginla","RW",41
"2001",8462042,"Jarome","Iginla","RW",52
"2018",8471214,"Alex","Ovechkin","LW",228
"2017",8471214,"Alex","Ovechkin","LW",64
"2014",8471214,"Alex","Ovechkin","LW",60
"2013",8471214,"Alex","Ovechkin","LW",51
"2008",8471214,"Alex","Ovechkin","LW",56
"2007",8471214,"Alex","Ovechkin","LW",66
"2005",8471214,"Alex","Ovechkin","LW",58
"2006",8467329,"Vincent","Lecavalier","C",54
"2010",8467875,"Daniel","Sedin","LW",51
"2016",8471675,"Sidney","Crosby","C",52
"2009",8471675,"Sidney","Crosby","C",59
"2011",8471215,"Evgeni","Malkin","C",61
"2015",8470794,"Joe","Pavelski","C",55
"2019",8477956,"David","Pastrnak","RW",224
"2003",8470041,"Rick","Nash","LW",41
"2002",8459444,"Todd","Bertuzzi","RW",45
"2003",8469454,"Ilya","Kovalchuk","RW",41
"2000",8455738,"Pavel","Bure","RW",59
