"season","team_id_for","short_name","team_name","hit_count","season_rank"
"2010","23","Vancouver","Canucks","2605","1"
"2010","5","Pittsburgh","Penguins","2480","2"
"2010","3","NY Rangers","Rangers","2468","3"
"2010","6","Boston","Bruins","2391","4"
"2010","29","Columbus","Blue Jackets","2293","5"
"2010","26","Los Angeles","Kings","2289","6"
"2010","28","San Jose","Sharks","2255","7"
"2010","25","Dallas","Stars","2189","8"
"2010","15","Washington","Capitals","2136","9"
"2010","12","Carolina","Hurricanes","2128","10"
"2010","4","Philadelphia","Flyers","2096","11"
"2010","17","Detroit","Red Wings","2067","12"
"2010","10","Toronto","Maple Leafs","2048","13"
"2010","14","Tampa Bay","Lightning","2038","14"
"2010","24","Anaheim","Ducks","1989","15"
"2010","18","Nashville","Predators","1972","16"
"2010","27","Phoenix","Coyotes","1967","17"
"2010","16","Chicago","Blackhawks","1936","18"
"2010","13","Florida","Panthers","1867","19"
"2010","19","St Louis","Blues","1864","20"
"2010","30","Minnesota","Wild","1821","21"
"2010","8","Montreal","Canadiens","1795","22"
"2010","2","NY Islanders","Islanders","1794","23"
"2010","22","Edmonton","Oilers","1753","24"
"2010","7","Buffalo","Sabres","1698","25"
"2010","21","Colorado","Avalanche","1657","26"
"2010","20","Calgary","Flames","1644","27"
"2010","9","Ottawa","Senators","1639","28"
"2010","1","New Jersey","Devils","1521","29"
"2010","11","Atlanta","Thrashers","1457","30"
"2011","3","NY Rangers","Rangers","3057","1"
"2011","26","Los Angeles","Kings","2964","2"
"2011","27","Phoenix","Coyotes","2665","3"
"2011","4","Philadelphia","Flyers","2404","4"
"2011","1","New Jersey","Devils","2387","5"
"2011","15","Washington","Capitals","2332","6"
"2011","5","Pittsburgh","Penguins","2228","7"
"2011","19","St Louis","Blues","2195","8"
"2011","10","Toronto","Maple Leafs","2179","9"
"2011","25","Dallas","Stars","2152","10"
"2011","9","Ottawa","Senators","2127","11"
"2011","13","Florida","Panthers","2093","12"
"2011","6","Boston","Bruins","2010","13"
"2011","23","Vancouver","Canucks","1984","14"
"2011","52","Winnipeg","Jets","1966","15"
"2011","29","Columbus","Blue Jackets","1941","16"
"2011","21","Colorado","Avalanche","1845","17"
"2011","24","Anaheim","Ducks","1827","18"
"2011","8","Montreal","Canadiens","1801","19"
"2011","2","NY Islanders","Islanders","1778","20"
"2011","18","Nashville","Predators","1759","21"
"2011","30","Minnesota","Wild","1749","22"
"2011","17","Detroit","Red Wings","1727","23"
"2011","28","San Jose","Sharks","1701","24"
"2011","14","Tampa Bay","Lightning","1660","25"
"2011","12","Carolina","Hurricanes","1657","26"
"2011","16","Chicago","Blackhawks","1636","27"
"2011","22","Edmonton","Oilers","1632","28"
"2011","20","Calgary","Flames","1577","29"
"2011","7","Buffalo","Sabres","1486","30"
"2012","26","Los Angeles","Kings","2201","1"
"2012","6","Boston","Bruins","2020","2"
"2012","10","Toronto","Maple Leafs","1920","3"
"2012","3","NY Rangers","Rangers","1860","4"
"2012","5","Pittsburgh","Penguins","1698","5"
"2012","9","Ottawa","Senators","1627","6"
"2012","16","Chicago","Blackhawks","1501","7"
"2012","52","Winnipeg","Jets","1378","8"
"2012","24","Anaheim","Ducks","1364","9"
"2012","28","San Jose","Sharks","1359","10"
"2012","19","St Louis","Blues","1358","11"
"2012","15","Washington","Capitals","1317","12"
"2012","4","Philadelphia","Flyers","1276","13"
"2012","27","Phoenix","Coyotes","1260","14"
"2012","21","Colorado","Avalanche","1241","15"
"2012","8","Montreal","Canadiens","1240","16"
"2012","17","Detroit","Red Wings","1216","17"
"2012","2","NY Islanders","Islanders","1216","17"
"2012","25","Dallas","Stars","1199","19"
"2012","29","Columbus","Blue Jackets","1188","20"
"2012","23","Vancouver","Canucks","1153","21"
"2012","13","Florida","Panthers","1098","22"
"2012","7","Buffalo","Sabres","1079","23"
"2012","30","Minnesota","Wild","1079","23"
"2012","12","Carolina","Hurricanes","1062","25"
"2012","14","Tampa Bay","Lightning","1046","26"
"2012","22","Edmonton","Oilers","1044","27"
"2012","18","Nashville","Predators","981","28"
"2012","20","Calgary","Flames","935","29"
"2012","1","New Jersey","Devils","877","30"
"2013","26","Los Angeles","Kings","3639","1"
"2013","29","Columbus","Blue Jackets","2880","2"
"2013","3","NY Rangers","Rangers","2654","3"
"2013","24","Anaheim","Ducks","2491","4"
"2013","10","Toronto","Maple Leafs","2490","5"
"2013","5","Pittsburgh","Penguins","2455","6"
"2013","6","Boston","Bruins","2441","7"
"2013","4","Philadelphia","Flyers","2383","8"
"2013","9","Ottawa","Senators","2334","9"
"2013","52","Winnipeg","Jets","2282","10"
"2013","8","Montreal","Canadiens","2197","11"
"2013","21","Colorado","Avalanche","2175","12"
"2013","27","Phoenix","Coyotes","2173","13"
"2013","19","St Louis","Blues","2087","14"
"2013","7","Buffalo","Sabres","1992","15"
"2013","2","NY Islanders","Islanders","1937","16"
"2013","28","San Jose","Sharks","1931","17"
"2013","15","Washington","Capitals","1849","18"
"2013","13","Florida","Panthers","1838","19"
"2013","25","Dallas","Stars","1820","20"
"2013","16","Chicago","Blackhawks","1813","21"
"2013","12","Carolina","Hurricanes","1780","22"
"2013","17","Detroit","Red Wings","1758","23"
"2013","30","Minnesota","Wild","1755","24"
"2013","14","Tampa Bay","Lightning","1753","25"
"2013","22","Edmonton","Oilers","1709","26"
"2013","20","Calgary","Flames","1650","27"
"2013","23","Vancouver","Canucks","1619","28"
"2013","18","Nashville","Predators","1594","29"
"2013","1","New Jersey","Devils","1493","30"
"2014","2","NY Islanders","Islanders","2989","1"
"2014","24","Anaheim","Ducks","2925","2"
"2014","15","Washington","Capitals","2844","3"
"2014","5","Pittsburgh","Penguins","2647","4"
"2014","26","Los Angeles","Kings","2571","5"
"2014","9","Ottawa","Senators","2541","6"
"2014","14","Tampa Bay","Lightning","2528","7"
"2014","52","Winnipeg","Jets","2501","8"
"2014","29","Columbus","Blue Jackets","2475","9"
"2014","4","Philadelphia","Flyers","2470","10"
"2014","53","Arizona","Coyotes","2461","11"
"2014","3","NY Rangers","Rangers","2456","12"
"2014","10","Toronto","Maple Leafs","2434","13"
"2014","13","Florida","Panthers","2250","14"
"2014","7","Buffalo","Sabres","2184","15"
"2014","6","Boston","Bruins","2079","16"
"2014","20","Calgary","Flames","2050","17"
"2014","8","Montreal","Canadiens","2025","18"
"2014","21","Colorado","Avalanche","2003","19"
"2014","16","Chicago","Blackhawks","2001","20"
"2014","12","Carolina","Hurricanes","1953","21"
"2014","18","Nashville","Predators","1945","22"
"2014","22","Edmonton","Oilers","1936","23"
"2014","28","San Jose","Sharks","1919","24"
"2014","19","St Louis","Blues","1910","25"
"2014","17","Detroit","Red Wings","1777","26"
"2014","23","Vancouver","Canucks","1666","27"
"2014","1","New Jersey","Devils","1646","28"
"2014","30","Minnesota","Wild","1594","29"
"2014","25","Dallas","Stars","1562","30"
"2015","26","Los Angeles","Kings","2687","1"
"2015","2","NY Islanders","Islanders","2674","2"
"2015","5","Pittsburgh","Penguins","2650","3"
"2015","19","St Louis","Blues","2591","4"
"2015","28","San Jose","Sharks","2493","5"
"2015","24","Anaheim","Ducks","2443","6"
"2015","3","NY Rangers","Rangers","2369","7"
"2015","4","Philadelphia","Flyers","2340","8"
"2015","15","Washington","Capitals","2338","9"
"2015","18","Nashville","Predators","2284","10"
"2015","9","Ottawa","Senators","2219","11"
"2015","14","Tampa Bay","Lightning","2176","12"
"2015","6","Boston","Bruins","2100","13"
"2015","52","Winnipeg","Jets","2040","14"
"2015","13","Florida","Panthers","2039","15"
"2015","10","Toronto","Maple Leafs","2039","15"
"2015","29","Columbus","Blue Jackets","2004","17"
"2015","7","Buffalo","Sabres","1886","18"
"2015","8","Montreal","Canadiens","1836","19"
"2015","21","Colorado","Avalanche","1834","20"
"2015","25","Dallas","Stars","1833","21"
"2015","1","New Jersey","Devils","1816","22"
"2015","22","Edmonton","Oilers","1787","23"
"2015","53","Arizona","Coyotes","1753","24"
"2015","17","Detroit","Red Wings","1725","25"
"2015","20","Calgary","Flames","1559","26"
"2015","16","Chicago","Blackhawks","1544","27"
"2015","12","Carolina","Hurricanes","1540","28"
"2015","30","Minnesota","Wild","1530","29"
"2015","23","Vancouver","Canucks","1486","30"
"2016","9","Ottawa","Senators","2727","1"
"2016","5","Pittsburgh","Penguins","2717","2"
"2016","24","Anaheim","Ducks","2648","3"
"2016","22","Edmonton","Oilers","2513","4"
"2016","18","Nashville","Predators","2290","5"
"2016","26","Los Angeles","Kings","2278","6"
"2016","3","NY Rangers","Rangers","2214","7"
"2016","10","Toronto","Maple Leafs","2192","8"
"2016","15","Washington","Capitals","2177","9"
"2016","8","Montreal","Canadiens","2112","10"
"2016","2","NY Islanders","Islanders","2053","11"
"2016","4","Philadelphia","Flyers","2050","12"
"2016","53","Arizona","Coyotes","2045","13"
"2016","6","Boston","Bruins","2035","14"
